targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,0,39,0,0.008555,0.000108827
1,0,39,0,0.007635,8.46365e-05
1,0,39,0,0.007325,6.6967e-05
1,0,39,0,0.00719,5.36425e-05
1,0,39,0,0.0103725,0.000141817
0,0,39,0,0.007835,7.72995e-05
1,0,39,0,0.0078825,7.44532e-05
3,0,39,1,0.0076825,7.25808e-05
0,0,39,0,0.00829,9.7602e-05
0,0,39,0,0.0074875,7.07853e-05
1,0,39,0,0.007665,7.41715e-05
1,0,39,0,0.01887,0.000596232
1,0,39,0,0.00984,0.000160722
3,0,39,1,0.0135,0.000286642
1,0,39,0,0.0176025,0.000432404
1,0,39,0,0.00806,8.7951e-05
0,0,39,0,0.007985,7.6332e-05
1,0,39,0,0.0084075,0.000107605
1,0,39,0,0.0069675,5.02157e-05
2,0,39,1,0.0071925,6.50392e-05
1,0,39,0,0.008805,0.000104326
1,0,39,0,0.007635,6.1149e-05
1,0,39,0,0.0082325,8.15102e-05
2,0,39,1,0.12964,0.311891
0,0,39,0,0.0445425,0.00482749
1,0,39,0,0.0274475,0.00227937
1,0,39,0,0.0083025,9.90948e-05
1,0,39,0,0.0103775,0.000304126
0,0,39,0,0.0093725,0.000285297
1,0,39,0,0.0078025,7.69792e-05
1,0,39,0,0.016085,0.000708519
0,0,39,0,0.0145025,0.000320644
2,0,39,1,0.007655,7.1485e-05
3,0,39,1,0.0121525,0.000530038
0,0,39,0,0.009645,0.000141541
1,0,39,0,0.0108725,0.000200012
0,0,39,0,0.0144125,0.000320646
0,0,39,0,0.018275,0.000467495
0,0,39,0,0.013565,0.000294302
0,0,39,0,0.0153675,0.000345399
1,0,39,0,0.0147525,0.00032189
1,0,39,0,0.0105375,0.000180106
0,0,39,0,0.0173725,0.000412179
3,0,39,1,0.0157975,0.000362605
0,1,20,0,0.0144381,0.000310883
2,0,39,1,0.0080625,8.04952e-05
1,0,39,0,0.0094825,0.000130464
0,0,39,0,0.0105125,0.000176165
1,0,39,0,0.008585,9.7621e-05
0,0,39,0,0.008015,8.7312e-05
0,0,39,0,0.0084325,9.44373e-05
0,0,39,0,0.0082025,9.10963e-05
2,0,39,1,0.0083325,8.12052e-05
1,0,39,0,0.0081575,9.03838e-05
