targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
2,0,39,1,0.26044,2.31879
1,0,39,0,0.011615,0.000220301
1,0,39,0,0.007115,5.3389e-05
1,0,39,0,0.0136175,0.000287167
1,0,39,0,0.0123025,0.000232995
1,0,39,0,0.014,0.000307777
1,0,39,0,0.010805,0.000195034
1,0,39,0,0.0082575,9.73433e-05
1,1,10,0,0.0112727,0.000211296
0,1,11,0,0.0168833,0.000414357
1,0,39,0,0.011975,0.000242357
0,0,39,0,0.0133,0.000291894
0,0,39,0,0.008175,9.3085e-05
0,0,39,0,0.0074525,5.80923e-05
1,0,39,0,0.0085925,0.000140669
2,0,39,1,0.00744,5.75395e-05
0,0,39,0,0.0079625,6.87213e-05
1,0,39,0,0.0166225,0.000452524
2,1,38,0,0.0133667,0.000278089
0,0,39,0,0.0197175,0.000576122
1,0,39,0,0.0185725,0.000497234
0,0,39,0,0.0191225,0.000494595
3,0,39,1,0.0199375,0.000511895
1,0,39,0,0.0137575,0.000492211
0,0,39,0,0.0162725,0.000391735
0,0,39,0,0.02191,0.000600632
0,0,39,0,0.022745,0.000618291
1,0,39,0,0.01588,0.000381687
1,0,39,0,0.0174825,0.000435019
0,0,39,0,0.0135175,0.000299256
0,0,39,0,0.0169275,0.000408261
0,0,39,0,0.0134725,0.000292507
2,0,39,1,0.01006,0.000186989
2,0,39,1,0.02128,0.000565571
0,0,39,0,0.01406,0.000345692
2,0,39,1,0.02107,0.000607743
0,0,39,0,0.02093,0.000548221
1,0,39,0,0.021625,0.000571137
1,0,39,0,0.0113675,0.000216421
2,0,39,1,0.00882,0.000117465
0,0,39,0,0.01587,0.000401501
2,0,39,1,0.01397,0.000324904
0,0,39,0,0.0178675,0.0004402
1,0,39,0,0.010225,0.000168484
0,0,39,0,0.0220625,0.000587099
0,0,39,0,0.0149575,0.000345584
1,0,39,0,0.0147975,0.000334339
0,0,39,0,0.0390525,0.0300622
1,0,39,0,0.02499,0.00136027
0,1,36,0,0.0171297,0.000444695
0,0,39,0,0.015195,0.00034463
0,0,39,0,0.014635,0.000357268
1,0,39,0,0.015785,0.000459341
1,0,39,0,0.0137475,0.000310299
0,0,39,0,0.0172125,0.00042761
3,0,39,1,0.0176525,0.000437543
